symbol,side,entry_price,avg_exit_price,size_usdt,pnl_usdt,pnl_pct,fee_total,funding_paid,entry_ts,exit_ts,duration_min,score,exit_reason,correlation_id,source,confs,regime,macro_risk
PAXG/USDT,LONG,4680.216446,4690.263485,600.0,1.0479,0.17,0.48,0.0,2026-04-06T08:17:36.410558+00:00,2026-04-25T10:58:05.141355+00:00,27520.5,7,tp_cascade,0451f4280510,internal,[],,0.0
BTC/USDT,LONG,77694.949016,77659.925776,200.1616,-0.1703,-0.09,0.1601,0.0,2026-04-25T11:41:12.037117+00:00,2026-04-25T14:04:02.532291+00:00,142.8,6,sl,3f22017d757f,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77689.145536,77641.334164,200.0708,-0.2032,-0.1,0.1601,0.0,2026-04-25T14:05:21.529389+00:00,2026-04-25T14:54:30.451619+00:00,49.1,6,sl,09ec22986883,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77714.540764,77491.417236,200.0135,-0.6543,-0.33,0.16,0.0,2026-04-25T14:54:46.404572+00:00,2026-04-25T15:49:17.712329+00:00,54.5,6,sl,7312ec2eb315,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77453.023948,77248.632994,199.8654,-0.6074,-0.3,0.1599,0.0,2026-04-25T15:54:01.234848+00:00,2026-04-25T16:00:31.691073+00:00,6.5,6,sl,d561625f75d9,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78034.482614,77817.73133,199.7634,-0.6348,-0.32,0.1598,0.0,2026-04-26T12:17:15.623846+00:00,2026-04-26T12:46:11.225087+00:00,28.9,6,sl,b28384a944fe,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'TRIX 5m', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77827.228336,77788.670107,199.6167,-0.1787,-0.09,0.1597,0.0,2026-04-26T12:46:27.632110+00:00,2026-04-26T12:55:28.388077+00:00,9.0,6,sl,ac83367be8cf,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77882.081228,77842.044756,199.5657,-0.1824,-0.09,0.1597,0.0,2026-04-26T12:57:20.308754+00:00,2026-04-26T13:18:05.724791+00:00,20.8,6,sl,12b8d7c90703,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'TRIX 5m', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77920.194082,77884.789958,199.505,-0.1705,-0.09,0.1596,0.0,2026-04-26T13:19:30.152929+00:00,2026-04-26T13:53:51.847592+00:00,34.4,6,sl,7622478fbe9c,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,77978.469026,78014.759242,199.4448,0.0131,0.01,0.1595,0.0,2026-04-26T13:59:04.728906+00:00,2026-04-26T14:20:10.273676+00:00,21.1,6,tp_cascade,b83e560162fc,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78103.23384,78064.245775,199.3986,-0.1793,-0.09,0.1595,0.0,2026-04-26T14:25:03.375215+00:00,2026-04-26T14:57:04.991856+00:00,32.0,6,sl,eae764279bdc,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78138.274852,77923.218,199.3404,-0.6284,-0.32,0.1595,0.0,2026-04-26T15:04:20.463465+00:00,2026-04-26T16:45:05.170174+00:00,100.7,6,sl,12165bf1f026,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78026.788,77811.555038,199.2384,-0.6293,-0.32,0.1594,0.0,2026-04-26T16:45:21.315319+00:00,2026-04-26T17:02:19.321582+00:00,17.0,6,sl,9d04f4aa35cd,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78026.307712,77989.629187,199.0812,-0.1732,-0.09,0.1593,0.0,2026-04-26T17:06:21.112713+00:00,2026-04-26T18:11:26.736654+00:00,65.1,6,sl,cdd67bf13ddc,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78073.56605,78036.528313,198.9876,-0.174,-0.09,0.1592,0.0,2026-04-26T18:12:31.154542+00:00,2026-04-26T18:12:58.219044+00:00,0.5,6,sl,67ce9ab2421a,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78184.58262,78220.968742,198.9302,0.013,0.01,0.1591,0.0,2026-04-26T18:17:34.032433+00:00,2026-04-26T18:18:00.989332+00:00,0.4,6,tp_cascade,7e4e4edced88,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78251.132526,78216.998512,198.9012,-0.1663,-0.08,0.1591,0.0,2026-04-26T18:22:34.313972+00:00,2026-04-26T18:58:37.854971+00:00,36.1,7,sl,1331d6975dfa,internal,"['EMA200-H4 haussier', 'BOS H2/H1', 'H2+H1 alignés', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78273.455912,78309.883395,198.8806,0.0129,0.01,0.1591,0.0,2026-04-26T19:03:27.745510+00:00,2026-04-26T19:13:44.719648+00:00,10.3,7,tp_cascade,83b3ac346d3e,internal,"['EMA200-H4 haussier', 'BOS H2/H1', 'H2+H1 alignés', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78452.683384,78247.87309,198.8592,-0.5987,-0.3,0.1591,0.0,2026-04-26T19:18:35.334531+00:00,2026-04-26T19:23:43.573077+00:00,5.1,7,sl,3b428a778898,internal,"['EMA200-H4 haussier', 'BOS H2/H1', 'H2+H1 alignés', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78221.124532,78001.32111,198.7365,-0.6379,-0.32,0.159,0.0,2026-04-26T19:28:39.193468+00:00,2026-04-26T19:35:17.371792+00:00,6.6,7,sl,c559945ad12e,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78157.026096,78193.399427,198.5931,0.013,0.01,0.1589,0.0,2026-04-26T19:40:05.072355+00:00,2026-04-26T19:55:48.712742+00:00,15.7,6,tp_cascade,329cb35b10b2,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78329.329416,78120.759404,198.5913,-0.6082,-0.31,0.1589,0.0,2026-04-26T19:55:48.824730+00:00,2026-04-26T20:18:33.726820+00:00,22.7,7,sl,c9a268841581,internal,"['EMA200-H4 haussier', 'BOS H2/H1', 'H2+H1 alignés', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,78204.934824,78241.330418,198.4456,0.013,0.01,0.1587,0.0,2026-04-26T20:20:59.843552+00:00,2026-04-26T20:34:22.477704+00:00,13.4,6,tp_cascade,f50bc496f654,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,78387.774462,78182.302456,198.4405,-0.5995,-0.3,0.1588,0.0,2026-04-26T20:36:05.472748+00:00,2026-04-26T20:55:50.411611+00:00,19.7,7,sl,8d13e2456926,internal,"['EMA200-H4 haussier', 'BOS H2/H1', 'H2+H1 alignés', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,78271.03446,78307.460816,198.3303,0.0129,0.01,0.1587,0.0,2026-04-26T20:56:18.925598+00:00,2026-04-27T04:55:11.093314+00:00,478.9,7,tp_cascade,69d6d930f1cb,internal,"['EMA200-H4 haussier', 'BOS H2/H1', 'H2+H1 alignés', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'ADX régime TREND']",TREND,0.0
