2026-05-02 07:17:05,746 | INFO     | execution.paper_trading | [PAPER] État chargé — cash=537.57$ trades=273 positions=2
2026-05-02 07:17:05,754 | INFO     | execution.executor | [EXECUTOR] Mode PAPER activé — capital=1000.00$ slippage=5.0bps fees=4.0bps
2026-05-02 07:17:06,042 | INFO     | vision.ollama_vision | [VISION] Ollama disponible sur http://localhost:11434
2026-05-02 07:17:06,050 | INFO     | assistant.titan_core | [TITAN] Démarrage de l'assistant Titan…
2026-05-02 07:17:06,053 | WARNING  | assistant.avatar_renderer | [AVATAR] PyWebView non installé : pip install pywebview
2026-05-02 07:17:06,054 | INFO     | assistant.titan_core | [TITAN] Fenêtre avatar initialisée
2026-05-02 07:17:06,061 | INFO     | assistant.voice_engine | [VOICE] Thread d'écoute démarré
2026-05-02 07:17:06,062 | INFO     | assistant.titan_core | [TITAN] Écoute vocale démarrée — wake words: ['titan', 'hey titan', 'jarvis', 'hey jarvis']
2026-05-02 07:17:06,062 | WARNING  | assistant.voice_engine | [VOICE] webrtcvad non dispo → VAD amplitude (fallback)
2026-05-02 07:17:06,064 | INFO     | assistant.titan_core | [TITAN] Raccourci Ctrl+Alt actif
2026-05-02 07:17:06,067 | INFO     | assistant.titan_core | [TITAN] Assistant opérationnel
2026-05-02 07:17:06,067 | INFO     | api.api_server | [APP] Titanium v12 démarré — 9 tâches actives
2026-05-02 07:17:06,072 | INFO     | core.signal_engine | [SCAN] Démarrage boucle de scan — 2 actifs, interval=3s
2026-05-02 07:17:06,073 | INFO     | assistant.daily_report | [REPORT] Rapport quotidien programmé à 20:00
2026-05-02 07:17:06,073 | INFO     | assistant.daily_report | [REPORT] Prochain rapport dans 45774 secondes (20:00)
2026-05-02 07:17:06,075 | INFO     | core.signal_engine | [SCAN] BTC/USDT — df30 insuffisant (0 barres, min=10) — en attente de données WS
2026-05-02 07:17:06,076 | INFO     | core.signal_engine | [SCAN] PAXG/USDT — df30 insuffisant (0 barres, min=10) — en attente de données WS
2026-05-02 07:17:06,124 | INFO     | assistant.hotkey_manager | [HOTKEY] Ctrl+Alt actif (pynput)
2026-05-02 07:17:06,290 | INFO     | assistant.voice_engine | [VOICE] Chargement Whisper small (int8)…
2026-05-02 07:17:06,899 | INFO     | data.gold_provider | [GOLD/TD] XAU/USD/4h → 500 bougies
2026-05-02 07:17:06,924 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 1)
2026-05-02 07:17:06,949 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 1)
2026-05-02 07:17:06,978 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 2)
2026-05-02 07:17:07,014 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 2)
2026-05-02 07:17:07,044 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 3)
2026-05-02 07:17:07,104 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 3)
2026-05-02 07:17:07,134 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 4)
2026-05-02 07:17:07,150 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 4)
2026-05-02 07:17:07,166 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 5)
2026-05-02 07:17:07,182 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 5)
2026-05-02 07:17:07,196 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 6)
2026-05-02 07:17:07,212 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 6)
2026-05-02 07:17:07,228 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 7)
2026-05-02 07:17:07,243 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 7)
2026-05-02 07:17:07,247 | INFO     | data.binance_ws | [WS] Connecté PAXG/USDT @ wss://stream.binance.com:9443
2026-05-02 07:17:07,250 | INFO     | data.binance_ws | [WS] Connecté BTC/USDT @ wss://stream.binance.com:9443
2026-05-02 07:17:07,674 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 8)
2026-05-02 07:17:07,745 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 8)
2026-05-02 07:17:07,760 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 9)
2026-05-02 07:17:07,777 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 10)
2026-05-02 07:17:07,792 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 9)
2026-05-02 07:17:07,809 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 10)
2026-05-02 07:17:07,839 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 11)
2026-05-02 07:17:07,855 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 11)
2026-05-02 07:17:07,871 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 12)
