ts,open,high,low,close
2026-01-06 17:35:00+00:00,4507.7,4509.7,4502.58,4503.65
2026-01-06 17:40:00+00:00,4503.69,4503.69,4501.0,4503.07
2026-01-06 17:45:00+00:00,4503.07,4505.0,4502.7,4504.27
2026-01-06 17:50:00+00:00,4504.4,4512.0,4503.75,4510.01
2026-01-06 17:55:00+00:00,4510.01,4510.56,4508.42,4508.57
2026-01-06 18:00:00+00:00,4508.56,4508.6,4504.95,4506.52
2026-01-06 18:05:00+00:00,4506.52,4506.52,4505.8,4506.05
2026-01-06 18:10:00+00:00,4506.05,4507.99,4506.05,4507.91
2026-01-06 18:15:00+00:00,4507.9,4510.24,4507.71,4507.71
2026-01-06 18:20:00+00:00,4507.72,4509.09,4505.3,4505.31
2026-01-06 18:25:00+00:00,4505.3,4506.66,4502.6,4502.96
2026-01-06 18:30:00+00:00,4502.96,4505.85,4500.0,4501.39
2026-01-06 18:35:00+00:00,4501.4,4503.09,4501.4,4502.55
2026-01-06 18:40:00+00:00,4502.55,4503.55,4502.41,4503.51
2026-01-06 18:45:00+00:00,4503.52,4504.9,4503.52,4504.9
2026-01-06 18:50:00+00:00,4505.05,4511.43,4505.04,4505.08
2026-01-06 18:55:00+00:00,4505.08,4506.08,4505.08,4506.0
2026-01-06 19:00:00+00:00,4506.01,4506.01,4502.75,4502.76
2026-01-06 19:05:00+00:00,4502.75,4502.76,4500.75,4500.76
2026-01-06 19:10:00+00:00,4500.76,4503.19,4499.6,4499.61
2026-01-06 19:15:00+00:00,4499.6,4500.06,4495.21,4499.05
2026-01-06 19:20:00+00:00,4499.05,4501.6,4499.04,4500.49
2026-01-06 19:25:00+00:00,4499.97,4500.75,4498.65,4498.65
2026-01-06 19:30:00+00:00,4498.55,4498.55,4495.02,4495.29
2026-01-06 19:35:00+00:00,4495.3,4498.72,4494.85,4498.72
2026-01-06 19:40:00+00:00,4498.72,4500.59,4498.72,4499.15
2026-01-06 19:45:00+00:00,4499.14,4500.19,4498.95,4498.96
2026-01-06 19:50:00+00:00,4498.95,4498.95,4496.98,4497.7
2026-01-06 19:55:00+00:00,4497.7,4498.67,4497.2,4498.4
2026-01-06 20:00:00+00:00,4498.25,4499.7,4497.65,4499.69
2026-01-06 20:05:00+00:00,4499.7,4500.6,4499.7,4500.54
2026-01-06 20:10:00+00:00,4500.54,4502.52,4500.05,4502.03
2026-01-06 20:15:00+00:00,4502.02,4502.7,4502.02,4502.7
2026-01-06 20:20:00+00:00,4502.69,4504.14,4502.66,4504.13
2026-01-06 20:25:00+00:00,4504.11,4504.11,4502.7,4502.7
2026-01-06 20:30:00+00:00,4502.71,4502.71,4501.34,4501.9
2026-01-06 20:35:00+00:00,4501.9,4503.9,4501.89,4503.89
2026-01-06 20:40:00+00:00,4503.89,4506.13,4503.89,4506.13
2026-01-06 20:45:00+00:00,4506.13,4507.25,4506.13,4506.75
2026-01-06 20:50:00+00:00,4506.75,4506.75,4504.33,4505.7
2026-01-06 20:55:00+00:00,4506.05,4511.67,4506.05,4509.91
2026-01-06 21:00:00+00:00,4509.9,4509.91,4508.04,4509.21
2026-01-06 21:05:00+00:00,4509.21,4510.1,4508.45,4508.9
2026-01-06 21:10:00+00:00,4508.9,4508.91,4508.4,4508.41
